Timestamp,Please enter your course ID:,"Question 1
On a scale of 1 to 5, how would you rate your current academic workload this term?","Question 2
How many hours a week do you study this semester? (Enter a number)","Question 3
Since the beginning of this term, how frequently have you experienced stress due to your academic workload?
(Please select one option for each item)","Question 4
Since the beginning of this term, how frequently have you experienced anxiety due to your academic workload?
(Please select one option for each item)","Question 5 Since the beginning of this term, how frequently have you found it difficult to concentrate on your academic work?
(Please select one option for each item)","Question 6

On average, how many hours of sleep do you get per night during this semester? Enter a number.","Question 7

Which of the following best describes your current living situation?","Question 8

Time management issues (i.e., taken on too many responsibilities, cannot finish a
previously set commitment)","Question 9

Missing out on social events (hangouts, networking, parties, etc.)","Question 10

Financial problems"
10/8/2024 11:16:07,ggplotMyBeloved369,3,8,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,8,Living off-campus alone,Sometimes,Sometimes,Sometimes
10/8/2024 15:30:43,ComputationalStatistics364,5,10,I sometimes experienced stress caused by my academic workload,I have never experienced anxiety from my academic workload,I always find it difficult to concentrate academically.,7,Living with family or relatives off-campus,Sometimes,Often,Rarely
10/8/2024 16:10:39,NonemptyDataset4387,4,20,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,20,Living off-campus with roommates (not family),Sometimes,Sometimes,Rarely
10/8/2024 16:10:56,ExpensiveToronto12,4,14,I always experience stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Rarely,Rarely,Never
10/8/2024 17:19:25,HamiltonHousing579,4,8,I always experience stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I always find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Sometimes,Very Often,Rarely
10/10/2024 5:07:21,ClubPenguinA,5,3,I sometimes experienced stress caused by my academic workload,I have never experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living with family or relatives off-campus,Rarely,Very Often,Never
10/10/2024 11:46:25,amazing2data,3,6,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living with family or relatives off-campus,Sometimes,Rarely,Rarely
10/10/2024 17:39:45,ExpensiveToronto,3,8,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,6,Living with family or relatives off-campus,Often,Sometimes,Sometimes
10/10/2024 18:33:34,Badminton ,5,30,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Rarely,Often,Sometimes
10/11/2024 12:17:26,setseed123,5,25,I always experience stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I always find it difficult to concentrate academically.,6,Living off-campus alone,Often,Very Often,Often
10/11/2024 13:35:55,tennis,4,30,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,7,Living with family or relatives off-campus,Never,Sometimes,Rarely
10/11/2024 23:03:41,NeedPiazza555,5,100,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,6,Living with family or relatives off-campus,Very Often,Very Often,Very Often
10/12/2024 14:04:00,mtcarsMyBelovedqq,4,40,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Rarely,Sometimes,Never
10/12/2024 18:35:01,ComputationalStatistics426,5,7,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Often,Sometimes,Rarely
